                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.77191,                 3.7677,                 1.3086,                0.53198,                0.46043,                0.52807,                0.46558,                0.55317,                 2.1588,                 1.2331,             0.00011033,             0.00011033,             0.00011033
                      2,                0.65163,                 2.2826,                 1.1761,                0.75131,                0.90645,                0.89497,                 0.7814,                0.55962,                 1.2303,                 1.2248,             0.00021914,             0.00021914,             0.00021914
                      3,                0.61494,                 1.5765,                 1.1571,                0.94224,                0.88527,                0.93627,                0.84759,                0.52632,                 1.0036,                 1.1335,             0.00032575,             0.00032575,             0.00032575
                      4,                0.57786,                 1.2474,                 1.1177,                0.97286,                0.90969,                0.94755,                 0.8621,                0.50999,                0.85232,                 1.1341,             0.00032311,             0.00032311,             0.00032311
                      5,                0.55036,                 1.0727,                 1.0914,                 0.9695,                0.94322,                0.96367,                0.88054,                0.47849,                0.73968,                 1.0883,             0.00032311,             0.00032311,             0.00032311
                      6,                0.54117,                 0.9786,                 1.0964,                0.92951,                0.92851,                0.95866,                0.88486,                0.44975,                0.76071,                 1.0626,             0.00031981,             0.00031981,             0.00031981
                      7,                0.52895,                0.87569,                 1.0781,                0.97338,                0.91144,                0.95636,                0.89266,                0.40729,                0.66988,                 1.0242,             0.00031652,             0.00031652,             0.00031652
                      8,                0.51623,                0.81716,                 1.0713,                0.98092,                 0.9321,                0.95419,                 0.8911,                0.44035,                0.65489,                 1.0498,             0.00031322,             0.00031322,             0.00031322
                      9,                0.50787,                0.77133,                 1.0649,                0.96508,                0.92757,                0.95611,                0.89707,                0.39627,                0.63338,                 1.0203,             0.00030992,             0.00030992,             0.00030992
                     10,                0.49876,                0.70542,                 1.0549,                0.95915,                 0.9425,                0.97401,                0.89794,                0.41571,                0.56598,                 1.0332,             0.00030663,             0.00030663,             0.00030663
                     11,                0.49556,                0.67096,                 1.0569,                0.97855,                 0.9306,                0.96839,                0.88956,                0.44257,                0.53238,                 1.0576,             0.00030333,             0.00030333,             0.00030333
                     12,                0.49024,                0.66237,                 1.0509,                0.97093,                0.93632,                0.97267,                0.90326,                0.41576,                0.52374,                 1.0344,             0.00030003,             0.00030003,             0.00030003
                     13,                0.47656,                0.63205,                 1.0427,                0.93784,                0.95121,                0.98137,                0.90726,                0.43129,                0.48475,                 1.0451,             0.00029674,             0.00029674,             0.00029674
                     14,                0.47143,                0.60206,                 1.0414,                0.96391,                0.93969,                0.96506,                0.88892,                0.41959,                0.51994,                 1.0253,             0.00029344,             0.00029344,             0.00029344
                     15,                0.49393,                0.60397,                 1.0659,                  0.978,                0.94176,                0.97644,                0.89793,                0.42606,                0.46821,                 1.0252,             0.00029014,             0.00029014,             0.00029014
                     16,                0.47099,                0.58858,                 1.0428,                0.96327,                0.94546,                0.97244,                0.90898,                0.40855,                0.45758,                 1.0144,             0.00028685,             0.00028685,             0.00028685
                     17,                 0.4675,                0.55646,                 1.0382,                0.97467,                0.94114,                0.98066,                0.90399,                0.41798,                0.47688,                 1.0234,             0.00028355,             0.00028355,             0.00028355
                     18,                0.46573,                0.54467,                 1.0384,                0.97556,                0.94697,                0.97887,                0.90329,                0.43439,                0.43972,                 1.0452,             0.00028025,             0.00028025,             0.00028025
                     19,                0.46363,                0.51939,                 1.0345,                 0.9704,                0.94239,                 0.9759,                0.91939,                0.39397,                0.44397,                0.99755,             0.00027696,             0.00027696,             0.00027696
                     20,                0.46387,                0.51911,                 1.0408,                0.97052,                0.94418,                0.97719,                0.89782,                0.41628,                0.46679,                 1.0244,             0.00027366,             0.00027366,             0.00027366
                     21,                 0.4552,                0.50427,                 1.0283,                0.97228,                 0.9417,                0.97645,                0.89734,                0.41395,                0.44024,                 1.0199,             0.00027036,             0.00027036,             0.00027036
                     22,                 0.4489,                0.48291,                 1.0253,                0.96603,                0.94311,                0.97557,                0.90972,                0.40272,                0.44755,                 1.0162,             0.00026707,             0.00026707,             0.00026707
                     23,                0.45241,                0.46738,                 1.0279,                0.96629,                0.94262,                0.97842,                0.90882,                0.41114,                 0.4243,                 1.0101,             0.00026377,             0.00026377,             0.00026377
                     24,                0.44748,                0.45834,                  1.027,                0.97553,                0.94322,                0.96348,                0.89258,                0.43096,                0.43002,                 1.0358,             0.00026047,             0.00026047,             0.00026047
                     25,                0.44844,                0.45321,                 1.0243,                0.95499,                0.95262,                0.97161,                0.91235,                0.38754,                0.40639,                0.99587,             0.00025718,             0.00025718,             0.00025718
                     26,                0.44253,                0.46076,                 1.0236,                0.97035,                0.94188,                0.97869,                0.91202,                0.40167,                0.40795,                 1.0056,             0.00025388,             0.00025388,             0.00025388
                     27,                0.43085,                0.44245,                 1.0197,                0.98331,                0.94536,                0.98181,                0.92317,                0.38938,                0.37225,                0.99276,             0.00025058,             0.00025058,             0.00025058
                     28,                0.43036,                0.42721,                 1.0152,                0.97963,                0.94064,                0.97657,                0.91466,                0.39747,                0.41083,                 1.0012,             0.00024729,             0.00024729,             0.00024729
                     29,                0.42395,                 0.4157,                 1.0143,                0.97553,                0.94657,                0.97676,                0.91624,                0.40274,                0.36496,                 1.0137,             0.00024399,             0.00024399,             0.00024399
                     30,                0.43379,                0.40877,                 1.0154,                0.97295,                0.94362,                0.97985,                 0.9208,                 0.3906,                0.41677,                0.99743,             0.00024069,             0.00024069,             0.00024069
                     31,                 0.4342,                0.41324,                 1.0163,                0.97748,                0.93795,                0.97577,                0.91561,                0.40419,                0.39966,                 1.0179,              0.0002374,              0.0002374,              0.0002374
                     32,                0.42248,                0.38427,                 1.0144,                0.98046,                0.94105,                0.98053,                0.92048,                0.39077,                0.39526,                0.99562,              0.0002341,              0.0002341,              0.0002341
                     33,                0.41319,                0.39748,                 1.0083,                0.98017,                0.94175,                0.98124,                0.91745,                 0.3879,                0.39594,                0.99664,              0.0002308,              0.0002308,              0.0002308
                     34,                0.42074,                0.38174,                 1.0084,                0.97651,                0.94607,                0.97971,                0.92141,                0.38517,                0.37119,                0.99575,             0.00022751,             0.00022751,             0.00022751
                     35,                0.41581,                0.36666,                 1.0058,                 0.9768,                0.94476,                0.97674,                0.90982,                0.39804,                0.39785,                 1.0007,             0.00022421,             0.00022421,             0.00022421
                     36,                0.41877,                0.38197,                 1.0077,                0.97935,                0.94462,                0.98165,                0.91229,                0.39969,                0.38167,                 1.0138,             0.00022091,             0.00022091,             0.00022091
                     37,                0.41486,                0.37808,                 1.0059,                0.96817,                0.94682,                0.98128,                 0.9263,                0.37913,                0.36204,                0.98869,             0.00021762,             0.00021762,             0.00021762
                     38,                0.41422,                0.36204,                 1.0085,                 0.9742,                0.94679,                0.97952,                0.91869,                0.38807,                0.38076,                0.99336,             0.00021432,             0.00021432,             0.00021432
